group_genus	species1	species2	spec1_code	spec2_code	scaf1	gff1	prot1	scaf2	gff2	prot2	color
perca	Perca.flavescens	Perca.fluviatilis	PFLA1	Pfluv1	GCF_004354835.1_PFLA_1.0_genomic.fna.gz	GCF_004354835.1_PFLA_1.0_genomic.gff.gz	GCF_004354835.1_PFLA_1.0_protein.faa.gz	GCF_010015445.1_GENO_Pfluv_1.0_genomic.fna.gz	GCF_010015445.1_GENO_Pfluv_1.0_genomic.gff.gz	GCF_010015445.1_GENO_Pfluv_1.0_protein.faa.gz	0.51
bufo	Bufo.gargarizans	Bufo.bufo	Bgarg	aBufBuf1	GCF_014858855.1_ASM1485885v1_genomic.fna.gz	GCF_014858855.1_ASM1485885v1_genomic.gff.gz	GCF_014858855.1_ASM1485885v1_protein.faa.gz	GCF_905171765.1_aBufBuf1.1_genomic.fna.gz	GCF_905171765.1_aBufBuf1.1_genomic.gff.gz	GCF_905171765.1_aBufBuf1.1_protein.faa.gz	0.85
#cervus	Cervus.hanglu	Cervus.elaphus	Changlu	mCerEla1	GCA_010411085.1_CEY_v1_genomic.fna.gz	GCA_010411085.1_CEY_v1_genomic.gff.gz	GCA_010411085.1_CEY_v1_protein.faa.gz	GCF_910594005.1_mCerEla1.1_genomic.fna.gz	GCF_910594005.1_mCerEla1.1_genomic.gff.gz	GCF_910594005.1_mCerEla1.1_protein.faa.gz	0.21
cervus	Cervus.canadensis	Cervus.elaphus	Ccan	mCerEla1	GCF_019320065.1_ASM1932006v1_genomic.fna.gz	GCF_019320065.1_ASM1932006v1_genomic.gff.gz	GCF_019320065.1_ASM1932006v1_protein.faa.gz	GCF_910594005.1_mCerEla1.1_genomic.fna.gz	GCF_910594005.1_mCerEla1.1_genomic.gff.gz	GCF_910594005.1_mCerEla1.1_protein.faa.gz	0.21
mauremys	Mauremys.reevesii	Mauremys.mutica	Mreeves	Mmutica	GCF_016161935.1_ASM1616193v1_genomic.fna.gz	GCF_016161935.1_ASM1616193v1_genomic.gff.gz	GCF_016161935.1_ASM1616193v1_protein.faa.gz	GCF_020497125.1_ASM2049712v1_genomic.fna.gz	GCF_020497125.1_ASM2049712v1_genomic.gff.gz	GCF_020497125.1_ASM2049712v1_protein.faa.gz	0.25
epinephelus	Epinephelus.fuscoguttatus	Ephinephelus.lanceolatus	Efusco	Elanceo	GCF_011397635.1_E.fuscoguttatus.final_Chr_v1_genomic.fna.gz	GCF_011397635.1_E.fuscoguttatus.final_Chr_v1_genomic.gff.gz	GCF_011397635.1_E.fuscoguttatus.final_Chr_v1_protein.faa.gz	GCF_005281545.1_ASM528154v1_genomic.fna.gz	GCF_005281545.1_ASM528154v1_genomic.gff.gz	GCF_005281545.1_ASM528154v1_protein.faa.gz	0.1
oreochromis	Oreochromis.aureus	Oreochromis.niloticus	OaurZZ	OnilUMD	GCF_013358895.1_ZZ_aureus_genomic.fna.gz	GCF_013358895.1_ZZ_aureus_genomic.gff.gz	GCF_013358895.1_ZZ_aureus_protein.faa.gz	GCF_001858045.2_O_niloticus_UMD_NMBU_genomic.fna.gz	GCF_001858045.2_O_niloticus_UMD_NMBU_genomic.gff.gz	GCF_001858045.2_O_niloticus_UMD_NMBU_protein.faa.gz	0.04
thunnus	Thunnus.albacares	Thunnus.maccoyii	fThuAlb1	fThuMac1	GCF_914725855.1_fThuAlb1.1_genomic.fna.gz	GCF_914725855.1_fThuAlb1.1_genomic.gff.gz	GCF_914725855.1_fThuAlb1.1_protein.faa.gz	GCF_910596095.1_fThuMac1.1_genomic.fna.gz	GCF_910596095.1_fThuMac1.1_genomic.gff.gz	GCF_910596095.1_fThuMac1.1_protein.faa.gz	0.60
lytechinus	Lytechinus.variegatus	Lytechinus.picta	Lvar3	Lpic2	GCF_018143015.1_Lvar_3.0_genomic.fna.gz	GCF_018143015.1_Lvar_3.0_genomic.gff.gz	GCF_018143015.1_Lvar_3.0_protein.faa.gz	GCF_015342785.2_UCSD_Lpic_2.1_genomic.fna.gz	GCF_015342785.2_UCSD_Lpic_2.1_genomic.gff.gz	GCF_015342785.2_UCSD_Lpic_2.1_protein.faa.gz	0.40
octopus	Octopus.bimaculoides	Octopus.sinensis	Obi	Osi	GCF_001194135.2_ASM119413v2_genomic.fna.gz	GCF_001194135.2_ASM119413v2_genomic.gff.gz	GCF_001194135.2_ASM119413v2_protein.faa.gz	GCF_006345805.1_ASM634580v1_genomic.fna.gz	GCF_006345805.1_ASM634580v1_genomic.gff.gz	GCF_006345805.1_ASM634580v1_protein.faa.gz	0.78
