GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_022829085.1	32617078	N/A	N/A	
GCA_905340225.1	25821128	N/A	N/A	
GCA_946251915.1	36657048	N/A	N/A	
GCA_016904835.1	25031638	N/A	N/A	
GCA_021347895.1	30897978	GCF_021347895.1	36616428	
GCA_904848185.1	22519528	GCF_904848185.1	22692388	
GCA_020080195.1	29026808	N/A	N/A	
GCA_013436515.1	20509008	N/A	N/A	
GCA_930367205.1	31877138	N/A	N/A	
GCA_929443795.2	38030708	N/A	N/A	
GCA_943193645.1	33827808	N/A	N/A	
GCA_009760885.1	15639418	N/A	N/A	
GCA_947623365.1	38592648	N/A	N/A	
GCA_027475565.2	39293098	GCF_027475565.1	39486318	
GCA_010645085.2	41696448	GCF_010645085.2	41696468	
GCA_902713435.2	31423188	N/A	N/A	
GCA_902713425.2	33265168	N/A	N/A	
GCA_948252455.1	39924048	N/A	N/A	
GCA_927399475.2	36955798	N/A	N/A	
GCA_946894065.1	36655508	N/A	N/A	
GCA_923062465.1	30643758	N/A	N/A	
GCA_907164435.1	27758248	N/A	N/A	
GCA_907164505.1	27758268	N/A	N/A	
GCA_907169655.1	27758308	N/A	N/A	
GCA_903995435.1	21789358	GCF_903995435.1	36641058	
GCA_027559615.1	39302148	N/A	N/A	
GCA_943193695.1	33827738	N/A	N/A	
GCA_910950805.1	28457278	N/A	N/A	
GCA_947359355.1	37968328	N/A	N/A	
GCA_910591435.1	27795508	N/A	N/A	
GCA_947256265.1	37188218	N/A	N/A	
GCA_946251955.1	36655478	N/A	N/A	
GCA_020536085.1	29669118	N/A	N/A	
GCA_013753865.1	21092708	GCF_013753865.1	29153348	
GCA_029620275.1	42003238	N/A	N/A	
GCA_005508785.2	33225278	GCF_005508785.2	33225298	
GCA_910592335.1	27796498	N/A	N/A	
GCA_021613535.1	31130668	N/A	N/A	
GCA_002204515.1	4634188	GCF_002204515.2	4674878	
GCA_025407655.1	36305228	N/A	N/A	
GCA_911387785.2	31798818	N/A	N/A	
GCA_024364675.1	34816298	GCF_024364675.1	35058978	
GCA_028453745.1	40664778	N/A	N/A	
GCA_020745825.3	41484108	GCF_020745825.1	41609568	
GCA_949130485.1	42218848	N/A	N/A	
GCA_927399405.1	31579158	N/A	N/A	
GCA_922987775.1	30643668	N/A	N/A	
GCA_947534325.1	38550428	N/A	N/A	
GCA_947389935.1	37996968	N/A	N/A	
GCA_029378335.1	41749758	N/A	N/A	
GCA_914767915.1	28913268	N/A	N/A	
GCA_949125355.1	41862798	N/A	N/A	
GCA_932305915.1	32253208	N/A	N/A	
GCA_940337035.1	34364378	N/A	N/A	
GCA_943789525.1	34136178	N/A	N/A	
GCA_928269145.1	31423098	N/A	N/A	
GCA_914767755.1	28913078	N/A	N/A	
GCA_949152395.1	41863188	N/A	N/A	
GCA_947364205.1	38479028	N/A	N/A	
GCA_916701695.1	30127498	N/A	N/A	
GCA_028554685.1	40700988	N/A	N/A	
GCA_943136025.2	38035638	N/A	N/A	
GCA_929113105.1	31798318	N/A	N/A	
GCA_028640845.1	40977438	N/A	N/A	
GCA_002007445.3	32756348	GCF_002007445.2	32756368	
GCA_022829145.1	32617048	N/A	N/A	
GCA_008658365.1	14391048	N/A	N/A	
GCA_949125135.1	41862858	N/A	N/A	
GCA_026122505.1	37392848	N/A	N/A	
GCA_932294295.1	32252988	N/A	N/A	
GCA_947179485.1	37019098	N/A	N/A	
GCA_024542945.1	35124958	N/A	N/A	
GCA_932294325.1	32252958	N/A	N/A	
GCA_946863875.1	36655258	N/A	N/A	
GCA_017589495.2	33220288	GCF_017589495.1	33265228	
