genus	random	z	m	s	n_blocks	q_total	s_total	q_blocks	s_blocks	mean_block	longest
thunnus	n	200000	3	1	834	24623	24646	23569	23284	28.26	302
thunnus	n	200000	3	2	454	24623	24646	23609	23412	52.25	647
thunnus	n	200000	3	3	390	24623	24646	23595	23421	60.84	697
thunnus	n	200000	3	4	359	24623	24646	23570	23420	66.08	697
thunnus	n	200000	3	5	340	24623	24646	23560	23425	71.25	697
thunnus	n	200000	3	6	326	24623	24646	23553	23430	74.57	697
thunnus	n	200000	3	10	317	24623	24646	23552	23441	78.13	697
thunnus	n	200000	2	1	920	24623	24646	23720	23374	25.78	302
thunnus	n	200000	2	2	521	24623	24646	23699	23452	45.66	647
thunnus	n	200000	2	3	456	24623	24646	23680	23462	52.23	697
thunnus	n	200000	2	4	429	24623	24646	23664	23472	55.65	697
thunnus	n	200000	2	5	408	24623	24646	23651	23474	59.62	697
thunnus	n	200000	2	6	390	24623	24646	23637	23473	61.99	697
thunnus	n	200000	2	10	386	24623	24646	23636	23483	63.87	697
thunnus	y	200000	3	1	2	24623	24646	6	6	3.00	3
thunnus	y	200000	3	2	22	24623	24646	66	66	3.00	3
thunnus	y	200000	3	3	27	24623	24646	83	82	3.07	5
thunnus	y	200000	3	4	47	24623	24646	141	139	3.00	3
thunnus	y	200000	3	5	96	24623	24646	287	285	3.02	4
thunnus	y	200000	3	6	112	24623	24646	338	338	3.04	4
thunnus	y	200000	3	10	259	24623	24646	781	753	3.07	5
thunnus	y	200000	2	1	712	24623	24646	1427	1381	2.00	3
thunnus	y	200000	2	2	1249	24623	24646	2481	2364	2.01	3
thunnus	y	200000	2	3	1602	24623	24646	3167	2990	2.01	3
thunnus	y	200000	2	4	1991	24623	24646	3915	3658	2.02	3
thunnus	y	200000	2	5	2312	24623	24646	4523	4184	2.02	3
thunnus	y	200000	2	6	2636	24623	24646	5121	4729	2.03	4
thunnus	y	200000	2	10	3550	24623	24646	6849	6237	2.05	4
thunnus	n	500000	3	1	659	24623	24646	23677	23364	35.93	331
thunnus	n	500000	3	2	263	24623	24646	23691	23485	90.46	764
thunnus	n	500000	3	3	189	24623	24646	23660	23498	125.47	903
thunnus	n	500000	3	4	165	24623	24646	23655	23507	144.03	1217
thunnus	n	500000	3	5	146	24623	24646	23647	23510	162.75	1217
thunnus	n	500000	3	6	137	24623	24646	23647	23516	173.99	1217
thunnus	n	500000	3	10	132	24623	24646	23645	23526	182.43	1217
thunnus	n	500000	2	1	735	24623	24646	23820	23436	32.41	331
thunnus	n	500000	2	2	316	24623	24646	23767	23513	75.41	764
thunnus	n	500000	2	3	252	24623	24646	23748	23528	94.57	903
thunnus	n	500000	2	4	229	24623	24646	23741	23546	104.30	1217
thunnus	n	500000	2	5	206	24623	24646	23726	23545	116.29	1217
thunnus	n	500000	2	6	199	24623	24646	23726	23554	120.76	1217
thunnus	n	500000	2	10	194	24623	24646	23724	23566	125.15	1217
thunnus	y	500000	3	1	20	24623	24646	62	62	3.10	4
thunnus	y	500000	3	2	68	24623	24646	204	201	3.01	4
thunnus	y	500000	3	3	150	24623	24646	447	444	3.04	4
thunnus	y	500000	3	4	237	24623	24646	717	707	3.05	6
thunnus	y	500000	3	5	307	24623	24646	920	889	3.04	4
thunnus	y	500000	3	6	424	24623	24646	1279	1213	3.07	5
thunnus	y	500000	3	10	836	24623	24646	2491	2342	3.13	6
thunnus	y	500000	2	1	1258	24623	24646	2538	2390	2.02	3
thunnus	y	500000	2	2	2107	24623	24646	4166	3854	2.02	3
thunnus	y	500000	2	3	2723	24623	24646	5350	4902	2.03	4
thunnus	y	500000	2	4	3350	24623	24646	6543	5921	2.05	5
thunnus	y	500000	2	5	3787	24623	24646	7351	6654	2.06	5
thunnus	y	500000	2	6	4136	24623	24646	8001	7156	2.07	5
thunnus	y	500000	2	10	5255	24623	24646	10160	8996	2.13	6
