genus	z	m	s	n_blocks	q_total	s_total	q_blocks	s_blocks	mean_block	longest
bufo	10000	3	5	337	22020	21517	1164	1153	3.46	8
bufo	30000	3	5	1184	22020	21517	4746	4675	4.02	17
bufo	50000	3	5	1744	22020	21517	7582	7448	4.36	33
bufo	75000	3	5	2088	22020	21517	10202	9939	4.91	47
bufo	100000	3	5	2229	22020	21517	11917	11562	5.38	55
bufo	300000	3	5	1924	22020	21517	16443	15973	8.70	167
bufo	500000	3	5	1611	22020	21517	17476	16965	11.08	194
bufo	750000	3	5	1389	22020	21517	18007	17446	13.31	293
bufo	1000000	3	5	1228	22020	21517	18221	17666	15.40	293
bufo	3000000	3	5	814	22020	21517	18643	18025	23.74	315
bufo	5000000	3	5	744	22020	21517	18750	18105	26.44	315
bufo	10000000	3	5	686	22020	21517	18890	18232	29.54	615
octopus	10000	3	5	488	15684	18886	1660	1652	3.42	13
octopus	30000	3	5	1347	15684	18886	5811	5786	4.35	26
octopus	50000	3	5	1603	15684	18886	7862	7824	4.96	26
octopus	75000	3	5	1610	15684	18886	9027	8967	5.70	31
octopus	100000	3	5	1557	15684	18886	9711	9645	6.35	41
octopus	300000	3	5	1194	15684	18886	11374	11277	9.81	128
octopus	500000	3	5	988	15684	18886	11717	11588	12.22	169
octopus	750000	3	5	843	15684	18886	11971	11820	14.70	172
octopus	1000000	3	5	745	15684	18886	12069	11910	17.14	172
octopus	3000000	3	5	523	15684	18886	12360	12176	24.83	174
octopus	5000000	3	5	455	15684	18886	12444	12244	29.21	382
octopus	10000000	3	5	413	15684	18886	12563	12337	32.50	383
thunnus	10000	3	5	2906	24623	24646	17065	16987	5.89	41
thunnus	30000	3	5	1928	24623	24646	21999	21906	11.47	96
thunnus	50000	3	5	1330	24623	24646	22849	22741	17.32	253
thunnus	75000	3	5	921	24623	24646	23221	23101	25.46	282
thunnus	100000	3	5	702	24623	24646	23370	23259	33.86	408
thunnus	300000	3	5	222	24623	24646	23624	23469	111.18	1045
thunnus	500000	3	5	146	24623	24646	23647	23510	162.75	1217
thunnus	750000	3	5	127	24623	24646	23657	23529	187.53	1218
thunnus	1000000	3	5	114	24623	24646	23677	23547	210.30	1218
thunnus	3000000	3	5	123	24623	24646	23721	23586	205.50	1287
thunnus	5000000	3	5	136	24623	24646	23742	23600	176.10	1287
