genus	file	prot_id	query_syn	target_syn	q_gene	t_gene	on_main_scaf	off_main_scaf	q_total	t_total	q_blast	t_blast	n_cluster	n_ortho	q_scaffolds	t_scaffolds	q_genome_size	t_genome_size	q_N50	t_N50	div_time	_div_time_min	_div_time_min	div_time_ref
tethya	Tmi_V4b17_hintsutr_vs_TwiV4_AUG.homologs_identity.tab	0.755499770177092	Tmin	Twil	11362	11014	9378	2199	21697	27965	9882	11873	7748	5818	244	557	86067122	126187550	969337	6726358	NA	NA	NA	x
acropora	AhyaV1_vs_Amilv2.homologs_identity.tab	0.958556434897338	AhyaV1	Amilv2	15160	15131	12881	3829	24149	30136	15293	20060	11691	8631	907	854	446425040	475381253	26527962	19840543	5.7	5.7	19.7	x
octopus	Obi_vs_Osi.homologs_identity.tab	0.93840232293967	Obi	Osi	11705	11584	11614	763	15684	18886	12248	13266	10844	9871	145327	13516	2342534168	2719151902	96881196	105892736	NA	NA	NA	x
crassostrea	Cang_vs_Cvir3.homologs_identity.tab	0.814606200976126	Cang	Cvir3	18208	18332	19424	7292	29810	34596	21729	25318	14577	8684	410	11	624273838	684741128	60476782	75944018	120	63.2	186.4	x
crassostrea	Cang_vs_Cgig1.homologs_identity.tab	0.976869445643302	Cang	Cgig1	23005	22733	23764	2734	29810	31371	27449	27761	18470	13920	410	236	624273838	647887097	60476782	58462999	3.71	2.7	7.6	x
daphnia	dpulex_v_dmagna.homologs_identity.tab	0.84427619834508	Dmag	Dpul	10088	9872	11496	2468	16891	15295	12062	11817	8966	7208	309	13	161467056	133196385	12546303	12288052	158	158	158	Mathers2013
anastrepha	AnaObli1_vs_AnaLude1.homologs_identity.tab	0.980961219113551	AnaObli1	AnaLude1	11416	11364	12881	3829	14586	14353	13504	13477	10953	9871	205	140	836742189	820766187	134537425	131385309	1	0	1	x
culex	Cqui1_vs_CPPV2.homologs_identity.tab	0.980921641767747	Cqui1	CPPV2	11723	11714	12808	1283	15094	16297	13286	14038	10827	9127	57	290	573230032	566354144	201550677	186194774	3.15	1.4	4.9	x
drosophila	Dmel6_vs_DereRS2.homologs_identity.tab	0.919876107690751	Dmel6	DereRS2	12997	12966	11577	1809	13986	13718	13304	13160	12027	11270	1870	94	143726002	146538397	25286936	22146549	11.6	6.1	18.9	x
drosophila	Dmel6_vs_DpseMV25.homologs_identity.tab	0.806823444761587	Dmel6	DpseMV25	10931	10907	12139	664	13986	14343	11513	11665	9984	8918	1870	70	143726002	163282969	25286936	32422566	33	24.4	46.6	x
